,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,Ben Roethlisberger,Drew Brees,Deshaun Watson,Matthew Stafford,Philip Rivers,Andy Dalton,Carson Wentz,Kirk Cousins,Patrick Mahomes,Aaron Rodgers,Jared Goff,Alex Smith
WR1,Brandin Cooks,Golden Tate,Odell Beckham Jr.,Antonio Brown,Emmanuel Sanders,Michael Thomas,Chris Hogan,JuJu Smith-Schuster,Julian Edelman,Adam Thielen,Robert Woods,DeAndre Hopkins
WR2,Alshon Jeffery,Demaryius Thomas,Tyreek Hill,Stefon Diggs,Doug Baldwin,Keenan Allen,Sterling Shepard,Keelan Cole,Jarvis Landry,Mohamed Sanu,Julio Jones,A.J. Green
RB1,Ezekiel Elliott,Derrick Henry,Kareem Hunt,Kerryon Johnson,Carlos Hyde,Kenyan Drake,Alex Collins,David Johnson,Marshawn Lynch,Saquon Barkley,Phillip Lindsay,Todd Gurley II
RB2,Alvin Kamara,Lamar Miller,Adrian Peterson,Mark Ingram,James White,Javorius Allen,Christian McCaffrey,Aaron Jones,Royce Freeman,Melvin Gordon III,Jay Ajayi,James Conner
TE,Vance McDonald,Zach Ertz,Austin Hooper,Rob Gronkowski,Travis Kelce,Kyle Rudolph,Jared Cook,C.J. Uzomah,Eric Ebron,Jimmy Graham,Benjamin Watson,David Njoku
W/R,Sony Michel,Cooper Kupp,T.J. Yeldon,Joe Mixon,Chris Thompson,Marvin Jones Jr.,Devonta Freeman,Bilal Powell,Davante Adams,Will Fuller V,Calvin Ridley,Tyler Boyd
BN1,Kenny Golladay,Sammy Watkins,LeSean McCoy,Tyler Lockett,John Brown,Mike Davis,Michael Crabtree,O.J. Howard,Chris Carson,Giovani Bernard,Isaiah Crowell,Corey Davis
BN2,Andrew Luck,Duke Johnson Jr.,Dion Lewis,Jordan Wilkins,Matt Breida,Dalvin Cook,Baker Mayfield,Jordan Howard,Tevin Coleman,T.Y. Hilton,Corey Clement,Austin Ekeler
BN3,Trey Burton,Matt Ryan,Mike Evans,Ito Smith,Larry Fitzgerald,Alfred Morris,Allen Robinson II,Chris Godwin,Amari Cooper,Tarik Cohen,Nelson Agholor,Nyheim Hines
BN4,Mike Williams,George Kittle,Chris Ivory,Robby Anderson,Devin Funchess,Russell Wilson,Peyton Barber,Cam Newton,DeSean Jackson,D.J. Moore,Nick Chubb,Dede Westbrook
BN5,Le'Veon Bell,Josh Gordon,Cameron Brate,Dak Prescott,Jordy Nelson,Kenny Stills,Marquise Goodwin,Randall Cobb,Evan Engram,Anthony Miller,Quincy Enunwa,Rod Smith
BN6,Taylor Gabriel,Los Angeles,Antonio Gates,Charles Clay,Josh Allen,Ronald Jones II,Jordan Reed,D'Onta Foreman,Chicago,Mitchell Trubisky,Keke Coutee,Tom Brady
IR,,,Leonard Fournette,,Jerick McKinnon,,,Greg Olsen,,,Derrius Guice,Jack Doyle
K,Matt Bryant,Justin Tucker,Chris Boswell,Stephen Gostkowski,Harrison Butker,Wil Lutz,Robbie Gould,Matt Prater,Mason Crosby,Jake Elliott,Dan Bailey,Josh Lambo
DEF,Dallas,Los Angeles,Carolina,Philadelphia,Baltimore,Minnesota,Green Bay,Jacksonville,Tennessee,Houston,Cleveland,Denver
