,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,23.36,7.8,30.96,18.0,16.38,23.42,23.64,21.66,27.02,15.94,26.5,13.76
WR1,8.3,4.2,13.6,19.4,5.1,8.1,3.4,13.6,3.9,15.8,7.0,20.2
WR2,3.5,5.3,7.0,17.9,2.6,23.7,3.1,3.3,13.3,3.4,6.3,19.6
RB1,19.6,19.3,14.6,25.8,15.4,21.5,10.3,10.0,18.4,11.1,17.2,27.5
RB2,0.4,1.6,25.6,26.9,2.2,12.6,17.6,33.2,1.8,17.0,7.5,14.1
TE,1.8,8.6,1.2,0.0,13.9,3.9,3.8,12.8,9.7,2.1,0.0,0.0
W/R,1.2,3.0,23.9,9.1,2.8,1.4,14.5,4.5,11.7,15.5,0.5,6.9
BN1,0.0,0.0,0.0,4.3,4.2,20.2,0.0,10.2,0.0,0.0,0.0,6.4
BN2,0.0,0.0,9.5,9.2,2.7,3.5,13.4,27.96,13.2,21.9,0.0,8.5
BN3,0.0,0.0,9.0,0.0,0.0,0.0,4.9,5.2,0.0,0.0,3.8,12.42
BN4,4.7,22.7,1.8,12.5,1.1,7.8,15.1,4.0,8.5,10.4,0.0,14.6
BN5,17.88,5.7,13.0,10.7,18.2,0.0,11.5,11.6,0.0,0.0,0.0,0.0
BN6,0.0,0.0,12.84,0.0,1.4,0.0,0.0,0.0,11.08,20.0,9.42,0.0
IR,,,0.0,,0.0,,0.0,0.0,,,0.0,
K,16.0,3.0,8.0,14.0,6.0,6.0,7.0,2.0,12.0,8.0,2.0,16.0
DEF,7.0,7.0,8.0,7.0,-4.0,2.0,2.0,8.0,5.0,4.0,4.0,15.0
