,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,Andrew Luck,Matt Ryan,Joe Flacco,Matthew Stafford,Philip Rivers,Andy Dalton,Carson Wentz,Cam Newton,Patrick Mahomes,Mitchell Trubisky,Jared Goff,Tom Brady
WR1,Brandin Cooks,Josh Gordon,Odell Beckham Jr.,Stefon Diggs,Emmanuel Sanders,Keenan Allen,Sterling Shepard,A.J. Green,DeSean Jackson,Adam Thielen,Robert Woods,DeAndre Hopkins
WR2,Alshon Jeffery,Golden Tate,Tyreek Hill,Robby Anderson,John Brown,Michael Thomas,Allen Robinson II,Chris Godwin,Jarvis Landry,T.Y. Hilton,Julio Jones,Tyler Boyd
RB1,Ezekiel Elliott,Lamar Miller,Kareem Hunt,Joe Mixon,James White,Kenyan Drake,Alex Collins,David Johnson,Tevin Coleman,Saquon Barkley,Phillip Lindsay,Todd Gurley II
RB2,Sony Michel,Duke Johnson Jr.,LeSean McCoy,Mark Ingram,Matt Breida,Wendell Smallwood,Christian McCaffrey,Bilal Powell,Royce Freeman,Tarik Cohen,Nick Chubb,Jordan Howard
TE,Trey Burton,Zach Ertz,Austin Hooper,Benjamin Watson,Travis Kelce,Kyle Rudolph,Jordan Reed,O.J. Howard,Eric Ebron,Ricky Seals-Jones,C.J. Uzomah,David Njoku
W/R,Alvin Kamara,Demaryius Thomas,Mike Evans,Kerryon Johnson,Devin Funchess,Marvin Jones Jr.,Michael Crabtree,Christian Kirk,Julian Edelman,Mohamed Sanu,Calvin Ridley,Austin Ekeler
BN1,Mike Williams,Derrick Henry,T.J. Yeldon,Rob Gronkowski,Chris Thompson,Javorius Allen,Jared Cook,James Conner,Davante Adams,Melvin Gordon III,Isaiah Crowell,Aaron Jones
BN2,Vance McDonald,Cooper Kupp,Deshaun Watson,C.J. Beathard,Carlos Hyde,Mike Davis,Chris Hogan,JuJu Smith-Schuster,Chris Carson,Jimmy Graham,Jay Ajayi,Alex Smith
BN3,Ben Roethlisberger,Sammy Watkins,Adrian Peterson,Marlon Mack,Doug Baldwin,Dalvin Cook,Baker Mayfield,Kirk Cousins,Evan Engram,Will Fuller V,Corey Clement,Nyheim Hines
BN4,Kenny Golladay,Drew Brees,Dion Lewis,Tyler Lockett,Larry Fitzgerald,Russell Wilson,Peyton Barber,Randall Cobb,Jameis Winston,Aaron Rodgers,Nelson Agholor,Corey Davis
BN5,Le'Veon Bell,George Kittle,Chester Rogers,Antonio Brown,Jordy Nelson,Albert Wilson,Marquise Goodwin,Greg Olsen,,Anthony Miller,,Jalen Richard
BN6,Taylor Gabriel,Los Angeles,,Ito Smith,Josh Allen,Geronimo Allison,Amari Cooper,Frank Gore,,Latavius Murray,,Doug Martin
IR,,,Leonard Fournette,,Jerick McKinnon,,Devonta Freeman,D'Onta Foreman,,,Derrius Guice,
K,Wil Lutz,Justin Tucker,Greg Zuerlein,Stephen Gostkowski,Harrison Butker,Ka'imi Fairbairn,Robbie Gould,Matt Prater,Aldrick Rosas,Jake Elliott,Dan Bailey,Josh Lambo
DEF,Dallas,Los Angeles,Indianapolis,Philadelphia,Baltimore,Minnesota,New York,Jacksonville,Chicago,Houston,Cleveland,Denver
