,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
WR1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
WR2,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
RB1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
RB2,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
TE,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
W/R,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
BN1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
BN2,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
BN3,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
BN4,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
BN5,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
BN6,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
IR,0,,,,0,,0,0,,,0,
K,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
DEF,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0
