,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,Andrew Luck,Matt Ryan,Deshaun Watson,C.J. Beathard,Philip Rivers,Andy Dalton,Carson Wentz,Kirk Cousins,Patrick Mahomes,Aaron Rodgers,Jared Goff,Tom Brady
WR1,Brandin Cooks,Josh Gordon,Odell Beckham Jr.,Antonio Brown,Emmanuel Sanders,Keenan Allen,Sterling Shepard,JuJu Smith-Schuster,Jarvis Landry,Adam Thielen,Robert Woods,DeAndre Hopkins
WR2,Alshon Jeffery,Sammy Watkins,Tyreek Hill,Stefon Diggs,Doug Baldwin,Kenny Stills,Allen Robinson II,A.J. Green,Davante Adams,Mohamed Sanu,Julio Jones,Tyler Boyd
RB1,Ezekiel Elliott,Derrick Henry,Kareem Hunt,Joe Mixon,Carlos Hyde,Kenyan Drake,Alex Collins,David Johnson,Tevin Coleman,Saquon Barkley,Phillip Lindsay,Todd Gurley II
RB2,Sony Michel,Lamar Miller,T.J. Yeldon,Marlon Mack,James White,Alfred Morris,Christian McCaffrey,James Conner,Chris Carson,Melvin Gordon III,Isaiah Crowell,Jordan Howard
TE,Trey Burton,Zach Ertz,Austin Hooper,Rob Gronkowski,Travis Kelce,Kyle Rudolph,Jared Cook,C.J. Uzomah,Eric Ebron,Jimmy Graham,Geoff Swaim,David Njoku
W/R,Mike Williams,Cooper Kupp,Mike Evans,Tyler Lockett,John Brown,Mike Davis,Michael Crabtree,Bilal Powell,Julian Edelman,Will Fuller V,Calvin Ridley,Aaron Jones
BN1,Alvin Kamara,Demaryius Thomas,Cameron Brate,Jordan Wilkins,Chris Thompson,Javorius Allen,Devonta Freeman,Chris Godwin,Marshawn Lynch,T.Y. Hilton,Jay Ajayi,Alex Smith
BN2,Vance McDonald,Golden Tate,Adrian Peterson,Mark Ingram,Matt Breida,Michael Thomas,Chris Hogan,Keelan Cole,Royce Freeman,Tarik Cohen,Corey Clement,Austin Ekeler
BN3,Ben Roethlisberger,Drew Brees,Chris Ivory,Kerryon Johnson,Larry Fitzgerald,Marvin Jones Jr.,Baker Mayfield,O.J. Howard,Amari Cooper,D.J. Moore,Nelson Agholor,Nyheim Hines
BN4,Kenny Golladay,Duke Johnson Jr.,Dion Lewis,Matthew Stafford,Devin Funchess,Dalvin Cook,Peyton Barber,Cam Newton,DeSean Jackson,Anthony Miller,Nick Chubb,Dede Westbrook
BN5,Le'Veon Bell,George Kittle,LeSean McCoy,Robby Anderson,Jordy Nelson,Russell Wilson,Marquise Goodwin,Randall Cobb,Evan Engram,Mitchell Trubisky,Quincy Enunwa,Corey Davis
BN6,Taylor Gabriel,Los Angeles,Chester Rogers,Charles Clay,Josh Allen,Wendell Smallwood,Jordan Reed,Greg Olsen,Jameis Winston,Latavius Murray,Keke Coutee,Ronald Jones II
IR,,,Leonard Fournette,,Jerick McKinnon,,,D'Onta Foreman,,,Derrius Guice,
K,Matt Bryant,Justin Tucker,Cairo Santos,Stephen Gostkowski,Harrison Butker,Ka'imi Fairbairn,Robbie Gould,Cody Parkey,Ryan Succop,Jake Elliott,Dan Bailey,Josh Lambo
DEF,Dallas,Los Angeles,Carolina,Philadelphia,Baltimore,Minnesota,Green Bay,Jacksonville,Chicago,Houston,Cleveland,Seattle
