,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,Dak Prescott,Drew Brees,Deshaun Watson,Matthew Stafford,Philip Rivers,Russell Wilson,Baker Mayfield,Cam Newton,Patrick Mahomes,Aaron Rodgers,Jared Goff,Tom Brady
WR1,Brandin Cooks,Josh Gordon,Tyreek Hill,Antonio Brown,Emmanuel Sanders,Michael Thomas,Michael Crabtree,JuJu Smith-Schuster,Davante Adams,Adam Thielen,Robert Woods,DeAndre Hopkins
WR2,Kenny Golladay,Sammy Watkins,Mike Evans,Tyler Lockett,John Brown,Keenan Allen,Marquise Goodwin,Chris Godwin,Julian Edelman,D.J. Moore,Julio Jones,Willie Snead IV
RB1,Alvin Kamara,Lamar Miller,Kareem Hunt,Kerryon Johnson,James White,Kenyan Drake,Alex Collins,James Conner,Chris Carson,Tarik Cohen,Phillip Lindsay,Todd Gurley II
RB2,Ezekiel Elliott,Duke Johnson Jr.,Adrian Peterson,Mark Ingram,Matt Breida,Dalvin Cook,Christian McCaffrey,Isaiah Crowell,Tevin Coleman,Melvin Gordon III,Nick Chubb,Jordan Howard
TE,Trey Burton,George Kittle,Austin Hooper,Rico Gathers,Travis Kelce,Kyle Rudolph,Jared Cook,O.J. Howard,Ed Dickson,Jimmy Graham,Greg Olsen,David Njoku
W/R,Cole Beasley,Demaryius Thomas,LeSean McCoy,Ito Smith,Devin Funchess,Marvin Jones Jr.,Peyton Barber,Randall Cobb,Jarvis Landry,Latavius Murray,Calvin Ridley,Aaron Jones
BN1,Sony Michel,Zach Ertz,Odell Beckham Jr.,Rob Gronkowski,Chris Thompson,Mike Davis,Sterling Shepard,David Johnson,Eric Ebron,Mohamed Sanu,Michael Roberts,Corey Davis
BN2,Ben Roethlisberger,Golden Tate,T.J. Yeldon,Stefon Diggs,Doug Baldwin,Wendell Smallwood,Jordan Reed,A.J. Green,Royce Freeman,Saquon Barkley,C.J. Uzomah,Doug Martin
BN3,Le'Veon Bell,Matt Ryan,Jack Doyle,Benjamin Watson,Case Keenum,Andy Dalton,Carson Wentz,Kirk Cousins,DeSean Jackson,T.Y. Hilton,Corey Clement,Tyler Boyd
BN4,Alshon Jeffery,Derrick Henry,Jameis Winston,Joe Mixon,Carlos Hyde,Javorius Allen,Allen Robinson II,Christian Kirk,Evan Engram,Mitchell Trubisky,Nelson Agholor,Jalen Richard
BN5,Andrew Luck,Cooper Kupp,Leonard Fournette,Marlon Mack,Larry Fitzgerald,Giovani Bernard,Chris Hogan,Elijah McGuire,Dion Lewis,Anthony Miller,Jay Ajayi,Alex Smith
BN6,Mike Williams,Los Angeles,Ryan Fitzpatrick,Robby Anderson,Jordy Nelson,Marquez Valdes-Scantling,Amari Cooper,Jacksonville,Courtland Sutton,Houston,Danny Amendola,Austin Ekeler
IR,,,,,Jerick McKinnon,,Devonta Freeman,D'Onta Foreman,,,Derrius Guice,
K,Wil Lutz,Justin Tucker,Greg Zuerlein,Stephen Gostkowski,Harrison Butker,Ka'imi Fairbairn,Robbie Gould,Matt Prater,Mason Crosby,Giorgio Tavecchio,Dan Bailey,Graham Gano
DEF,Pittsburgh,Los Angeles,Denver,Dallas,Carolina,Minnesota,New York,Washington,Chicago,Kansas City,Cleveland,Oakland
