,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,28.14,40.54,8.52,18.48,22.34,15.58,25.02,11.04,25.26,19.9,26.56,17.8
WR1,9.0,6.9,10.9,11.0,13.3,12.9,5.0,11.6,12.3,5.0,9.6,8.6
WR2,11.3,6.3,19.7,1.7,0.9,2.4,8.8,11.4,11.2,10.5,2.4,5.8
RB1,11.8,5.7,16.4,2.0,22.3,1.0,19.4,12.1,10.7,17.7,2.0,19.6
RB2,19.0,9.1,14.6,3.5,11.7,14.6,13.4,14.1,11.8,14.4,7.5,9.5
TE,5.1,7.3,0.4,5.5,11.4,10.8,6.5,7.2,1.9,4.5,0.7,1.8
W/R,4.9,12.8,5.6,14.2,1.7,12.9,3.1,7.3,3.7,14.6,2.0,3.1
BN1,13.86,13.5,4.0,0.0,12.7,0.0,3.3,4.5,18.4,16.1,23.7,24.0
BN2,11.0,3.3,0.0,0.2,2.6,18.08,6.1,29.6,0.0,6.8,17.1,3.6
BN3,0.5,40.16,0.0,0.0,17.04,6.5,0.0,0.2,1.7,0.3,0.0,3.4
BN4,0.0,9.9,0.0,10.82,0.0,12.7,12.2,4.7,9.2,0.0,0.6,9.0
BN5,20.1,0.0,1.1,1.8,11.1,3.1,0.0,0.0,26.0,3.5,33.5,5.1
BN6,14.0,1.0,12.6,,8.6,12.1,0.3,4.0,3.3,8.9,5.7,3.1
IR,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0
K,3.0,13.0,7.0,4.0,8.0,15.0,7.0,14.0,6.0,8.0,0.0,8.0
DEF,2.0,14.0,4.0,3.0,6.0,3.0,6.0,7.0,13.0,4.0,9.0,3.0
