,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,Andrew Luck,Drew Brees,Tom Brady,Matthew Stafford,Philip Rivers,Andy Dalton,Baker Mayfield,Kirk Cousins,Patrick Mahomes,Aaron Rodgers,Jared Goff,Ryan Tannehill
WR1,Brandin Cooks,Golden Tate,Odell Beckham Jr.,Antonio Brown,Emmanuel Sanders,Michael Thomas,Allen Robinson II,JuJu Smith-Schuster,Jarvis Landry,T.Y. Hilton,Robert Woods,DeAndre Hopkins
WR2,Kenny Golladay,Demaryius Thomas,Tyreek Hill,Stefon Diggs,John Brown,Keenan Allen,Michael Crabtree,Chris Godwin,Davante Adams,Adam Thielen,Julio Jones,A.J. Green
RB1,Ezekiel Elliott,Derrick Henry,Kareem Hunt,Kerryon Johnson,Carlos Hyde,Kenyan Drake,Alex Collins,David Johnson,Tevin Coleman,Saquon Barkley,Isaiah Crowell,Todd Gurley II
RB2,Alvin Kamara,Lamar Miller,Leonard Fournette,Jordan Wilkins,James White,Dalvin Cook,Peyton Barber,Jordan Howard,Marshawn Lynch,Melvin Gordon III,Phillip Lindsay,James Conner
TE,Trey Burton,Zach Ertz,Benjamin Watson,Rob Gronkowski,Travis Kelce,Kyle Rudolph,Jared Cook,O.J. Howard,Eric Ebron,Jimmy Graham,Tyler Eifert,David Njoku
W/R,Sony Michel,Cooper Kupp,Mike Evans,Tyler Lockett,Matt Breida,Marvin Jones Jr.,Chris Hogan,Bilal Powell,Royce Freeman,Giovani Bernard,Calvin Ridley,Geronimo Allison
BN1,Ryan Fitzpatrick,Sammy Watkins,Will Dissly,Ito Smith,Larry Fitzgerald,Alfred Morris,Ben Roethlisberger,Jamaal Williams,Chris Carson,Will Fuller V,Jay Ajayi,Austin Ekeler
BN2,Alshon Jeffery,Duke Johnson Jr.,Dion Lewis,Joe Mixon,Chris Thompson,Russell Wilson,Marquise Goodwin,Cam Newton,Amari Cooper,Tarik Cohen,Antonio Callaway,Latavius Murray
BN3,Mike Williams,Matt Ryan,LeSean McCoy,Robby Anderson,Devin Funchess,Javorius Allen,Jordan Reed,Randall Cobb,DeSean Jackson,D.J. Moore,Corey Clement,Alex Smith
BN4,Sterling Shepard,George Kittle,Chris Ivory,Mark Ingram,Doug Baldwin,Kenny Stills,Christian McCaffrey,Aaron Jones,Evan Engram,Dez Bryant,Nelson Agholor,Adrian Peterson
BN5,Le'Veon Bell,Josh Gordon,Tyler Boyd,Dak Prescott,Jordy Nelson,Wendell Smallwood,Devonta Freeman,Phillip Dorsett,Ted Ginn Jr.,Anthony Miller,Nick Chubb,Corey Davis
BN6,Vance McDonald,Los Angeles,Deshaun Watson,Charles Clay,Josh Allen,Minnesota,Carson Wentz,Keelan Cole,Julian Edelman,Houston,Quincy Enunwa,T.J. Yeldon
IR,,,Delanie Walker,,Jerick McKinnon,,,Greg Olsen,,,Derrius Guice,
K,Matt Bryant,Justin Tucker,Chris Boswell,Stephen Gostkowski,Harrison Butker,Wil Lutz,Robbie Gould,Matt Prater,Mason Crosby,Jake Elliott,Dan Bailey,Adam Vinatieri
DEF,Dallas,Los Angeles,Indianapolis,Philadelphia,Baltimore,Detroit,Pittsburgh,Jacksonville,Chicago,Seattle,Cleveland,Green Bay
