,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,Andrew Luck,Drew Brees,Deshaun Watson,Matthew Stafford,Philip Rivers,Russell Wilson,Carson Wentz,Cam Newton,Patrick Mahomes,Aaron Rodgers,Jared Goff,Dak Prescott
WR1,Kenny Golladay,Golden Tate,Odell Beckham Jr.,Antonio Brown,Doug Baldwin,Michael Thomas,Allen Robinson II,JuJu Smith-Schuster,Davante Adams,T.Y. Hilton,Julio Jones,Tyler Boyd
WR2,Brandin Cooks,Josh Gordon,Tyreek Hill,Stefon Diggs,Emmanuel Sanders,Keenan Allen,Amari Cooper,Christian Kirk,Julian Edelman,Adam Thielen,Robert Woods,DeAndre Hopkins
RB1,Alvin Kamara,Lamar Miller,Kareem Hunt,Joe Mixon,James White,Dalvin Cook,Christian McCaffrey,James Conner,Tevin Coleman,Saquon Barkley,Phillip Lindsay,Aaron Jones
RB2,Ezekiel Elliott,Duke Johnson Jr.,Adrian Peterson,Marlon Mack,Matt Breida,Kenyan Drake,Peyton Barber,David Johnson,Chris Carson,Tarik Cohen,Nick Chubb,Todd Gurley II
TE,Trey Burton,Zach Ertz,Austin Hooper,Rob Gronkowski,Travis Kelce,Kyle Rudolph,Jared Cook,Cameron Brate,Eric Ebron,Jimmy Graham,Greg Olsen,David Njoku
W/R,Sony Michel,Derrick Henry,Mike Evans,Mark Ingram,Larry Fitzgerald,Marquez Valdes-Scantling,Gus Edwards,A.J. Green,Dion Lewis,D.J. Moore,Calvin Ridley,Austin Ekeler
BN1,Alshon Jeffery,Demaryius Thomas,Leonard Fournette,Benjamin Watson,Jonnu Smith,Frank Gore,Sterling Shepard,Elijah McGuire,Jameis Winston,C.J. Uzomah,Theo Riddick,Tom Brady
BN2,Ben Roethlisberger,Sammy Watkins,Jack Doyle,Kerryon Johnson,Devin Funchess,Mike Davis,Alex Collins,Chris Godwin,DeSean Jackson,Melvin Gordon III,Nick Mullens,Jordan Howard
BN3,Josh Adams,George Kittle,LeSean McCoy,Tyler Lockett,Carlos Hyde,Vance McDonald,Marquise Goodwin,Isaiah Crowell,Courtland Sutton,Latavius Murray,Corey Clement,Willie Snead IV
BN4,Keke Coutee,Matt Ryan,T.J. Yeldon,Ito Smith,John Ross,Marvin Jones Jr.,Michael Crabtree,Kirk Cousins,Evan Engram,Mitchell Trubisky,Nelson Agholor,Doug Martin
BN5,Gerald Everett,Tre'Quan Smith,Corey Davis,Robby Anderson,Lamar Jackson,Andy Dalton,Baker Mayfield,Curtis Samuel,Jarvis Landry,Anthony Miller,Jay Ajayi,Rashaad Penny
BN6,Pittsburgh,Los Angeles,Adam Vinatieri,Aldrick Rosas,Robbie Gould,Wendell Smallwood,Jordan Reed,Washington,Royce Freeman,Josh Reynolds,Tennessee,Taylor Gabriel
IR,Le'Veon Bell,,,,Jerick McKinnon,,Devonta Freeman,O.J. Howard,,,Derrius Guice,
K,Wil Lutz,Dustin Hopkins,Greg Zuerlein,Stephen Gostkowski,Harrison Butker,Chris Boswell,Michael Badgley,Matt Prater,Mason Crosby,Matt Bryant,Justin Tucker,Graham Gano
DEF,Denver,Los Angeles,Dallas,Jacksonville,Indianapolis,Minnesota,New Orleans,New England,Chicago,Houston,Cleveland,Baltimore
