,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,Andrew Luck,Drew Brees,Tom Brady,Matthew Stafford,Philip Rivers,Andy Dalton,Ben Roethlisberger,Cam Newton,Deshaun Watson,Aaron Rodgers,Jared Goff,Alex Smith
WR1,A.J. Green,Golden Tate,Odell Beckham Jr.,Antonio Brown,Doug Baldwin,Michael Thomas,Chris Hogan,JuJu Smith-Schuster,Amari Cooper,T.Y. Hilton,Julio Jones,Corey Davis
WR2,Brandin Cooks,Sammy Watkins,Mike Evans,Stefon Diggs,Larry Fitzgerald,Keenan Allen,Allen Robinson II,Chris Godwin,Davante Adams,Adam Thielen,Robert Woods,DeAndre Hopkins
RB1,Ezekiel Elliott,Derrick Henry,LeSean McCoy,Joe Mixon,Carlos Hyde,Dalvin Cook,Christian McCaffrey,David Johnson,Leonard Fournette,Saquon Barkley,Kareem Hunt,Todd Gurley II
RB2,Alvin Kamara,Lamar Miller,Marshawn Lynch,Jordan Wilkins,Rex Burkhead,Kenyan Drake,Devonta Freeman,Jordan Howard,Royce Freeman,Melvin Gordon III,Jay Ajayi,Adrian Peterson
TE,David Njoku,Zach Ertz,Delanie Walker,Trey Burton,Travis Kelce,Kyle Rudolph,Jordan Reed,Greg Olsen,Evan Engram,Jimmy Graham,Benjamin Watson,Rob Gronkowski
W/R,Kerryon Johnson,Cooper Kupp,Tyreek Hill,Robby Anderson,Chris Thompson,Marvin Jones Jr.,Alex Collins,Jamaal Williams,Chris Carson,Tarik Cohen,Isaiah Crowell,James Conner
BN1,Rashaad Penny,Demaryius Thomas,Ronald Jones II,Le'Veon Bell,Matt Breida,Russell Wilson,Marquise Goodwin,Randall Cobb,Jarvis Landry,Will Fuller V,Brandon Marshall,Sterling Shepard
BN2,Sony Michel,Duke Johnson Jr.,Dion Lewis,Mark Ingram,Devin Funchess,C.J. Anderson,Carson Wentz,Kirk Cousins,Tyler Eifert,Jamison Crowder,Nick Chubb,Josh Doctson
BN3,Alshon Jeffery,Matt Ryan,Julian Edelman,Dak Prescott,Emmanuel Sanders,Ty Montgomery,Michael Crabtree,Aaron Jones,Tevin Coleman,D.J. Moore,Calvin Ridley,Marlon Mack
BN4,Kenny Golladay,George Kittle,Pierre Garcon,Charles Clay,Allen Hurns,Jordy Nelson,Jack Doyle,Christian Kirk,Patrick Mahomes,Marcus Mariota,Kenny Stills,Kelvin Benjamin
BN5,Mike Williams,Josh Gordon,Nelson Agholor,Tyler Lockett,Jimmy Garoppolo,Cameron Brate,Peyton Barber,Bilal Powell,Latavius Murray,Dez Bryant,Chris Ivory,Michael Gallup
BN6,Case Keenum,Los Angeles,Antonio Gates,Jeremy Hill,James White,Alfred Morris,Rishard Matthews,O.J. Howard,Keelan Cole,Anthony Miller,Taywan Taylor,LeGarrette Blount
IR,,,,,Jerick McKinnon,,,,,,Derrius Guice,
K,Matt Bryant,Justin Tucker,Chris Boswell,Stephen Gostkowski,Harrison Butker,Wil Lutz,Robbie Gould,Matt Prater,Greg Zuerlein,Daniel Carlson,Jake Elliott,Graham Gano
DEF,Carolina,Los Angeles,New England,Philadelphia,Baltimore,Minnesota,Denver,Jacksonville,Green Bay,Pittsburgh,New Orleans,Detroit
