,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,23.88,30.52,11.02,13.4,21.64,17.6,3.84,25.48,38.92,21.58,35.12,14.82
WR1,10.7,4.0,33.5,17.7,3.9,15.2,2.2,10.4,16.6,27.5,13.2,7.1
WR2,3.3,0.4,14.5,18.6,6.2,15.0,3.9,13.7,3.8,8.6,17.8,9.6
RB1,16.8,4.6,17.1,11.2,4.4,5.0,11.0,4.9,8.5,15.6,22.6,9.4
RB2,26.1,10.8,20.1,12.9,0.5,-1.0,7.8,15.4,3.2,33.2,3.0,22.3
TE,0.9,1.5,4.3,0.0,18.7,1.3,9.1,7.8,0.0,1.3,6.9,2.0
W/R,17.3,0.0,24.0,15.7,14.3,0.8,3.6,5.0,12.3,3.0,3.7,6.5
BN1,0.0,0.0,2.7,22.3,0.0,8.7,17.0,0.0,7.8,5.9,1.5,0.0
BN2,23.66,0.0,17.1,7.2,11.2,0.0,0.0,0.0,6.6,21.7,0.0,0.0
BN3,5.6,0.0,11.08,0.0,0.0,0.0,0.0,18.98,0.0,0.5,0.0,5.1
BN4,13.2,0.0,0.0,2.2,0.0,19.34,0.7,0.0,0.0,16.9,0.0,5.8
BN5,7.7,14.74,3.2,0.0,8.7,-0.4,0.0,10.0,9.0,8.4,4.1,6.9
BN6,7.0,21.0,2.9,0.0,16.9,0.0,13.1,0.0,2.3,14.0,0.0,4.6
IR,0.0,,,,0.0,,0.0,0.0,,,0.0,
K,12.0,3.0,12.0,10.0,9.0,2.0,12.0,10.0,6.0,17.0,12.0,1.0
DEF,9.0,0.0,2.0,11.0,13.0,8.0,13.0,4.0,15.0,15.0,-4.0,1.0
