,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,Andrew Luck,Drew Brees,Deshaun Watson,Matthew Stafford,Philip Rivers,Russell Wilson,Carson Wentz,Cam Newton,Jameis Winston,Aaron Rodgers,Nick Mullens,Tom Brady
WR1,Alshon Jeffery,Golden Tate,Odell Beckham Jr.,Antonio Brown,Doug Baldwin,Michael Thomas,Allen Robinson II,JuJu Smith-Schuster,Davante Adams,T.Y. Hilton,Julio Jones,Tyler Boyd
WR2,Kenny Golladay,Josh Gordon,Mike Evans,Stefon Diggs,Emmanuel Sanders,Keenan Allen,Amari Cooper,Christian Kirk,Julian Edelman,Adam Thielen,Calvin Ridley,DeAndre Hopkins
RB1,Alvin Kamara,Lamar Miller,Leonard Fournette,Joe Mixon,James White,Dalvin Cook,Christian McCaffrey,James Conner,Tevin Coleman,Melvin Gordon III,Phillip Lindsay,Aaron Jones
RB2,Ezekiel Elliott,Duke Johnson Jr.,Adrian Peterson,Marlon Mack,Matt Breida,Frank Gore,Peyton Barber,David Johnson,Chris Carson,Saquon Barkley,Nick Chubb,Jordan Howard
TE,Trey Burton,Zach Ertz,Austin Hooper,Rob Gronkowski,Jonnu Smith,Kyle Rudolph,Jared Cook,Cameron Brate,Eric Ebron,C.J. Uzomah,Greg Olsen,David Njoku
W/R,Sony Michel,Derrick Henry,LeSean McCoy,Mark Ingram,Larry Fitzgerald,Marquez Valdes-Scantling,Gus Edwards,Elijah McGuire,Dion Lewis,Tarik Cohen,Theo Riddick,Austin Ekeler
BN1,Brandin Cooks,Demaryius Thomas,Jack Doyle,Benjamin Watson,Devin Funchess,Kenyan Drake,Sterling Shepard,A.J. Green,Patrick Mahomes,Jimmy Graham,Jared Goff,Dak Prescott
BN2,Ben Roethlisberger,Sammy Watkins,Kareem Hunt,Kerryon Johnson,Carlos Hyde,Mike Davis,Alex Collins,Chris Godwin,DeSean Jackson,D.J. Moore,Robert Woods,Todd Gurley II
BN3,Josh Adams,George Kittle,Tyreek Hill,Tyler Lockett,Travis Kelce,Vance McDonald,Marquise Goodwin,Isaiah Crowell,Courtland Sutton,Latavius Murray,Corey Clement,Willie Snead IV
BN4,Keke Coutee,Matt Ryan,T.J. Yeldon,Ito Smith,John Ross,Marvin Jones Jr.,Michael Crabtree,Kirk Cousins,Evan Engram,Mitchell Trubisky,Nelson Agholor,Doug Martin
BN5,Gerald Everett,Tre'Quan Smith,Corey Davis,Robby Anderson,Lamar Jackson,Andy Dalton,Baker Mayfield,Curtis Samuel,Jarvis Landry,Anthony Miller,Jay Ajayi,Rashaad Penny
BN6,Denver,Los Angeles,Greg Zuerlein,Aldrick Rosas,Harrison Butker,Wendell Smallwood,Jordan Reed,Washington,Royce Freeman,Josh Reynolds,Tennessee,Taylor Gabriel
IR,Le'Veon Bell,,,,Jerick McKinnon,,Devonta Freeman,O.J. Howard,,,Derrius Guice,
K,Wil Lutz,Dustin Hopkins,Adam Vinatieri,Stephen Gostkowski,Robbie Gould,Chris Boswell,Michael Badgley,Matt Prater,Mason Crosby,Matt Bryant,Justin Tucker,Graham Gano
DEF,Pittsburgh,Los Angeles,Dallas,Jacksonville,Indianapolis,Minnesota,New Orleans,New England,Chicago,Houston,Cleveland,Baltimore
