,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,Andrew Luck,Drew Brees,Deshaun Watson,Matthew Stafford,Case Keenum,Russell Wilson,Carson Wentz,Kirk Cousins,Patrick Mahomes,Aaron Rodgers,Jared Goff,Tom Brady
WR1,Brandin Cooks,Josh Gordon,Odell Beckham Jr.,Antonio Brown,Emmanuel Sanders,Michael Thomas,Sterling Shepard,A.J. Green,Jarvis Landry,Adam Thielen,Robert Woods,DeAndre Hopkins
WR2,Alshon Jeffery,Golden Tate,Tyreek Hill,Stefon Diggs,Doug Baldwin,Marvin Jones Jr.,Michael Crabtree,JuJu Smith-Schuster,Davante Adams,T.Y. Hilton,Nelson Agholor,Tyler Boyd
RB1,Alvin Kamara,Lamar Miller,Kareem Hunt,Joe Mixon,James White,Kenyan Drake,Alex Collins,David Johnson,Chris Carson,Saquon Barkley,Phillip Lindsay,Todd Gurley II
RB2,Kenjon Barner,Duke Johnson Jr.,Adrian Peterson,Marlon Mack,Chris Thompson,Wendell Smallwood,Christian McCaffrey,James Conner,Raheem Mostert,Tarik Cohen,Nick Chubb,Jordan Howard
TE,Trey Burton,Zach Ertz,Ricky Seals-Jones,Benjamin Watson,Travis Kelce,Kyle Rudolph,Jordan Reed,O.J. Howard,Eric Ebron,Jimmy Graham,C.J. Uzomah,David Njoku
W/R,Kenny Golladay,Demaryius Thomas,Mike Evans,Kerryon Johnson,John Brown,Geronimo Allison,Peyton Barber,Chris Ivory,Julian Edelman,Latavius Murray,Corey Clement,Doug Martin
BN1,Sony Michel,Matt Ryan,Austin Hooper,Rob Gronkowski,Matt Breida,Andy Dalton,Allen Robinson II,Christian Kirk,Royce Freeman,Mohamed Sanu,Julio Jones,Jalen Richard
BN2,Ezekiel Elliott,Derrick Henry,LeSean McCoy,Mark Ingram,Devin Funchess,Mike Davis,Jared Cook,Cam Newton,DeSean Jackson,Mitchell Trubisky,Calvin Ridley,Nyheim Hines
BN3,Mike Williams,Cooper Kupp,T.J. Yeldon,Robby Anderson,Philip Rivers,Keenan Allen,Chris Hogan,Chris Godwin,Tevin Coleman,Melvin Gordon III,Isaiah Crowell,Alex Smith
BN4,Vance McDonald,Sammy Watkins,Tre'Quan Smith,C.J. Beathard,Carlos Hyde,Javorius Allen,Baker Mayfield,Randall Cobb,Evan Engram,Anthony Miller,Jay Ajayi,Aaron Jones
BN5,Ben Roethlisberger,George Kittle,Jack Doyle,Tyler Lockett,Larry Fitzgerald,Dalvin Cook,Marquise Goodwin,Greg Olsen,Dion Lewis,Martavis Bryant,Michael Roberts,Austin Ekeler
BN6,Le'Veon Bell,Los Angeles,Jameis Winston,Ito Smith,Jordy Nelson,Tyrell Williams,Amari Cooper,Elijah McGuire,Joe Flacco,New England,Danny Amendola,Corey Davis
IR,,,Leonard Fournette,,Jerick McKinnon,,Devonta Freeman,D'Onta Foreman,,,Derrius Guice,
K,Wil Lutz,Justin Tucker,Greg Zuerlein,Stephen Gostkowski,Harrison Butker,Ka'imi Fairbairn,Robbie Gould,Matt Prater,Mason Crosby,Chris Boswell,Dan Bailey,Josh Lambo
DEF,Pittsburgh,Los Angeles,Arizona,Philadelphia,Baltimore,Minnesota,New York,Jacksonville,Chicago,Houston,Cleveland,Washington
