,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,10.52,8.28,15.96,11.0,23.96,24.8,20.84,19.3,33.0,15.32,9.08,14.16
WR1,5.0,16.5,15.46,21.4,8.2,4.0,7.9,4.9,15.3,7.7,1.8,9.7
WR2,6.2,11.8,5.0,4.9,1.9,22.8,5.6,7.7,6.0,8.8,13.8,9.1
RB1,7.2,11.5,0.0,9.5,11.8,10.6,22.1,19.4,1.1,14.6,27.9,11.2
RB2,19.5,1.2,15.8,3.3,5.7,10.4,8.5,7.2,10.8,22.64,13.2,28.5
TE,0.0,8.3,10.4,2.6,26.8,3.8,16.0,3.6,5.2,5.0,1.3,0.8
W/R,7.0,10.5,4.8,2.8,4.8,4.8,8.2,0.7,3.4,6.5,2.2,4.3
BN1,3.1,3.2,0.0,0.0,2.9,3.1,2.8,1.5,22.76,3.3,5.8,15.94
BN2,18.24,0.0,0.0,0.0,7.0,1.0,0.0,16.1,0.0,0.0,23.66,8.0
BN3,8.5,7.0,6.4,12.2,1.7,2.8,0.0,10.7,14.5,1.4,7.4,0.8
BN4,0.0,7.64,6.5,2.2,1.5,0.0,3.6,10.04,0.0,0.0,5.6,10.7
BN5,0.7,0.0,11.4,4.8,16.5,0.0,16.88,9.6,10.3,6.1,0.0,12.5
BN6,1.0,9.0,0.0,15.0,5.0,0.0,2.1,1.0,2.8,1.9,5.0,-0.3
IR,0.0,,,,0.0,,0.0,0.0,,,0.0,
K,4.0,9.0,14.0,6.0,12.0,7.0,5.0,10.0,5.0,5.0,17.0,5.0
DEF,14.0,8.0,8.0,17.0,12.0,2.0,15.0,10.0,5.0,18.0,4.0,15.0
